Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-02-17,S001,P0001,Electronics,North,264,187,80,192.82,164.28,20,Rainy,1,171.44,Winter
2023-02-18,S001,P0001,Electronics,North,163,144,74,154.87,165.49,15,Sunny,0,177.54,Winter
2023-02-19,S001,P0001,Electronics,North,457,124,191,125.88,157.12,10,Snowy,0,143.08,Winter
2023-02-20,S001,P0001,Electronics,North,317,130,112,134.68,163.36,0,Cloudy,0,147.8,Winter
2023-02-21,S001,P0001,Electronics,North,417,122,85,117.06,162.45,10,Sunny,0,145.04,Winter
2023-02-22,S001,P0001,Electronics,North,272,116,127,115.59,169.78,5,Cloudy,0,152.8,Winter
2023-02-23,S001,P0001,Electronics,North,485,195,122,183.8,164.02,20,Cloudy,1,175.09,Winter
2023-02-24,S001,P0001,Electronics,North,288,185,75,191.96,165.7,5,Snowy,1,180.29,Winter
2023-02-25,S001,P0001,Electronics,North,217,164,169,160.61,161.16,10,Rainy,0,147.49,Winter
2023-02-26,S001,P0001,Electronics,North,391,150,144,163.42,168.26,0,Sunny,0,178.49,Winter
2023-02-27,S001,P0001,Electronics,North,494,106,107,107.24,155.6,10,Rainy,0,170.77,Winter
2023-02-28,S001,P0001,Electronics,North,107,176,147,162.58,161.85,20,Cloudy,1,167.65,Winter
2023-03-01,S001,P0001,Electronics,North,239,120,190,119.47,163.71,0,Snowy,0,164.82,Spring
2023-03-02,S001,P0001,Electronics,North,262,102,163,103.1,154.95,15,Sunny,0,155.81,Spring
2023-03-03,S001,P0001,Electronics,North,464,126,0,129.21,165.54,10,Snowy,0,174.96,Spring
2023-03-04,S001,P0001,Electronics,North,171,134,91,137.94,159.69,5,Snowy,0,162.9,Spring
2023-03-05,S001,P0001,Electronics,North,241,213,154,221.44,170.06,0,Sunny,1,162.29,Spring
2023-03-06,S001,P0001,Electronics,North,302,112,133,122.08,169.03,20,Cloudy,0,186.03,Spring
2023-03-07,S001,P0001,Electronics,North,300,188,108,175.4,168.48,0,Rainy,1,181.04,Spring
2023-03-08,S001,P0001,Electronics,North,391,123,58,131.42,160.43,20,Sunny,0,159.22,Spring
2023-03-09,S001,P0001,Electronics,North,360,110,5,114.22,158.68,20,Cloudy,0,168.2,Spring
2023-03-10,S001,P0001,Electronics,North,132,136,144,128.96,166.53,0,Rainy,0,156.6,Spring
2023-03-11,S001,P0001,Electronics,North,498,151,112,158.76,157.61,5,Snowy,0,148.86,Spring
2023-03-12,S001,P0001,Electronics,North,355,156,11,165.87,167.74,15,Sunny,1,151.17,Spring
2023-03-13,S001,P0001,Electronics,North,304,118,46,116.12,163.82,20,Sunny,0,169.3,Spring
2023-03-14,S001,P0001,Electronics,North,355,122,97,125.33,170.16,10,Cloudy,0,186.67,Spring
2023-03-15,S001,P0001,Electronics,North,384,128,29,131.13,162.59,10,Sunny,0,180.13,Spring
2023-03-16,S001,P0001,Electronics,North,118,120,33,122.9,158.43,5,Sunny,0,147.37,Spring
2023-03-17,S001,P0001,Electronics,North,160,128,150,118.48,159.79,10,Rainy,0,167.37,Spring
2023-03-18,S001,P0001,Electronics,North,204,136,92,148.87,168.44,20,Rainy,0,157.28,Spring
2023-03-19,S001,P0001,Electronics,North,219,164,60,148.64,159.84,0,Sunny,0,158.34,Spring
2023-03-20,S001,P0001,Electronics,North,122,121,25,128.25,165.45,0,Rainy,0,148.84,Spring
2023-03-21,S001,P0001,Electronics,North,110,98,80,93.63,169.19,0,Snowy,0,179.27,Spring
2023-03-22,S001,P0001,Electronics,North,77,115,77,114.14,162.11,20,Rainy,0,144.08,Spring
2023-03-23,S001,P0001,Electronics,North,160,108,150,108.25,165.82,15,Sunny,0,180.43,Spring
2023-03-24,S001,P0001,Electronics,North,77,112,38,108.01,166.21,5,Rainy,0,151.04,Spring
2023-03-25,S001,P0001,Electronics,North,117,142,137,150.21,163.88,20,Rainy,0,147.63,Spring
2023-03-26,S001,P0001,Electronics,North,132,162,41,154.99,161.25,15,Rainy,0,165.41,Spring
2023-03-27,S001,P0001,Electronics,North,278,125,120,118.43,162.33,20,Rainy,0,157.08,Spring
2023-03-28,S001,P0001,Electronics,North,167,128,112,127.76,154.33,10,Rainy,0,170.23,Spring
2023-03-29,S001,P0001,Electronics,North,484,122,172,128.58,163.52,5,Rainy,0,171.8,Spring
2023-03-30,S001,P0001,Electronics,North,191,122,63,111.93,165.72,10,Cloudy,0,164.97,Spring
2023-03-31,S001,P0001,Electronics,North,227,137,9,138.33,155.08,5,Snowy,0,143.98,Spring
2023-04-01,S001,P0001,Electronics,North,144,172,48,184.07,167.14,15,Snowy,0,163.47,Spring
2023-04-02,S001,P0001,Electronics,North,467,137,75,133.69,170.33,0,Snowy,0,179.39,Spring
2023-04-03,S001,P0001,Electronics,North,365,189,29,201.29,166.43,20,Sunny,1,155.87,Spring
2023-04-04,S001,P0001,Electronics,North,138,125,41,122.31,168.98,10,Sunny,0,160.92,Spring
2023-04-05,S001,P0001,Electronics,North,499,105,52,113.54,168.85,10,Cloudy,0,153.33,Spring
2023-04-06,S001,P0001,Electronics,North,91,120,191,112.0,164.43,20,Sunny,0,165.75,Spring
2023-04-07,S001,P0001,Electronics,North,460,115,182,106.79,159.3,15,Rainy,0,167.48,Spring
2023-04-08,S001,P0001,Electronics,North,167,149,37,150.09,166.49,15,Sunny,0,151.61,Spring
2023-04-09,S001,P0001,Electronics,North,381,139,172,145.12,157.96,10,Cloudy,0,160.44,Spring
2023-04-10,S001,P0001,Electronics,North,197,124,10,135.39,163.97,5,Rainy,0,168.49,Spring
2023-04-11,S001,P0001,Electronics,North,405,129,67,136.48,163.87,20,Snowy,0,169.82,Spring
2023-04-12,S001,P0001,Electronics,North,442,111,50,116.25,160.32,0,Rainy,0,176.12,Spring
2023-04-13,S001,P0001,Electronics,North,362,114,0,122.43,157.27,10,Snowy,0,161.34,Spring
2023-04-14,S001,P0001,Electronics,North,251,115,179,121.62,166.33,5,Sunny,0,150.93,Spring
2023-04-15,S001,P0001,Electronics,North,177,126,170,114.23,169.15,10,Cloudy,0,158.93,Spring
2023-04-16,S001,P0001,Electronics,North,393,112,160,108.92,156.93,10,Rainy,0,146.39,Spring
2023-04-17,S001,P0001,Electronics,North,197,125,117,134.02,161.69,20,Snowy,0,161.78,Spring
2023-04-18,S001,P0001,Electronics,North,264,120,178,113.04,155.33,10,Rainy,0,144.34,Spring
2023-04-19,S001,P0001,Electronics,North,67,120,0,126.61,163.41,5,Rainy,0,164.76,Spring
2023-04-20,S001,P0001,Electronics,North,484,115,62,105.87,162.31,20,Cloudy,0,179.69,Spring
2023-04-21,S001,P0001,Electronics,North,136,128,54,119.2,160.88,5,Cloudy,0,167.02,Spring
2023-04-22,S001,P0001,Electronics,North,492,194,71,178.64,157.85,20,Cloudy,1,172.53,Spring
2023-04-23,S001,P0001,Electronics,North,337,154,119,163.45,170.3,15,Snowy,0,177.17,Spring
2023-04-24,S001,P0001,Electronics,North,481,126,6,129.36,159.0,0,Cloudy,0,172.28,Spring
2023-04-25,S001,P0001,Electronics,North,434,123,46,126.07,165.67,10,Rainy,0,178.6,Spring
2023-04-26,S001,P0001,Electronics,North,69,129,4,125.01,154.8,0,Rainy,0,168.21,Spring
2023-04-27,S001,P0001,Electronics,North,264,122,127,114.24,170.24,5,Cloudy,0,170.75,Spring
2023-04-28,S001,P0001,Electronics,North,330,111,102,104.74,165.59,10,Rainy,0,184.84,Spring
2023-04-29,S001,P0001,Electronics,North,195,138,127,127.45,154.54,15,Sunny,0,146.16,Spring
2023-04-30,S001,P0001,Electronics,North,427,135,75,127.07,164.82,5,Rainy,0,150.46,Spring
2023-05-01,S001,P0001,Electronics,North,358,123,198,124.8,163.99,0,Rainy,0,160.23,Spring
2023-05-02,S001,P0001,Electronics,North,179,130,53,136.19,161.09,10,Sunny,0,165.08,Spring
2023-05-03,S001,P0001,Electronics,North,162,105,186,100.74,160.02,10,Rainy,0,159.1,Spring
2023-05-04,S001,P0001,Electronics,North,118,112,55,105.61,169.45,15,Cloudy,0,159.78,Spring
2023-05-05,S001,P0001,Electronics,North,250,120,153,119.38,163.93,0,Sunny,0,158.09,Spring
2023-05-06,S001,P0001,Electronics,North,153,137,41,135.9,165.69,10,Cloudy,0,148.9,Spring
2023-05-07,S001,P0001,Electronics,North,354,211,188,223.24,167.35,0,Cloudy,1,168.21,Spring
2023-05-08,S001,P0001,Electronics,North,388,171,7,175.75,169.8,0,Cloudy,1,178.93,Spring
2023-05-09,S001,P0001,Electronics,North,75,133,46,120.87,155.08,0,Cloudy,0,157.16,Spring
2023-05-10,S001,P0001,Electronics,North,384,130,116,136.01,159.32,10,Snowy,0,144.61,Spring
2023-05-11,S001,P0001,Electronics,North,451,127,186,135.35,155.13,0,Rainy,0,158.71,Spring
2023-05-12,S001,P0001,Electronics,North,147,128,130,133.02,156.2,5,Cloudy,0,152.62,Spring
2023-05-13,S001,P0001,Electronics,North,446,146,160,157.27,164.98,5,Snowy,0,154.41,Spring
2023-05-14,S001,P0001,Electronics,North,463,241,12,242.39,168.37,10,Cloudy,1,188.49,Spring
2023-05-15,S001,P0001,Electronics,North,234,115,15,123.59,162.03,0,Rainy,0,146.15,Spring
2023-05-16,S001,P0001,Electronics,North,114,134,176,123.56,162.73,5,Snowy,0,171.15,Spring
2023-05-17,S001,P0001,Electronics,North,448,125,48,122.29,154.97,15,Snowy,0,171.95,Spring
2023-05-18,S001,P0001,Electronics,North,429,118,197,129.38,158.45,10,Rainy,0,162.76,Spring
2023-05-19,S001,P0001,Electronics,North,415,122,73,110.95,164.11,0,Rainy,0,145.86,Spring
2023-05-20,S001,P0001,Electronics,North,54,150,4,153.89,167.66,0,Sunny,0,184.87,Spring
2023-05-21,S001,P0001,Electronics,North,111,140,144,130.31,166.55,10,Rainy,0,171.46,Spring
2023-05-22,S001,P0001,Electronics,North,117,109,141,116.85,154.81,10,Sunny,0,150.77,Spring
2023-05-23,S001,P0001,Electronics,North,219,114,8,110.1,168.08,0,Sunny,0,177.57,Spring
2023-05-24,S001,P0001,Electronics,North,87,120,71,124.7,158.34,5,Rainy,0,142.42,Spring
2023-05-25,S001,P0001,Electronics,North,89,115,44,114.55,168.06,20,Cloudy,0,181.16,Spring
2023-05-26,S001,P0001,Electronics,North,396,122,32,131.24,165.25,10,Snowy,0,171.53,Spring
2023-05-27,S001,P0001,Electronics,North,394,149,180,154.37,167.83,10,Rainy,0,155.31,Spring
2023-05-28,S001,P0001,Electronics,North,298,153,30,162.97,169.85,5,Snowy,0,163.13,Spring
2023-05-29,S001,P0001,Electronics,North,61,124,38,116.39,167.75,20,Rainy,0,160.76,Spring
2023-05-30,S001,P0001,Electronics,North,403,116,187,104.61,156.12,20,Cloudy,0,142.2,Spring
2023-05-31,S001,P0001,Electronics,North,461,120,59,112.31,167.88,20,Sunny,0,179.52,Spring
2023-06-01,S001,P0001,Electronics,North,373,179,191,186.45,166.76,0,Rainy,0,165.7,Summer
2023-06-02,S001,P0001,Electronics,North,56,321,28,290.32,163.89,10,Cloudy,1,171.1,Summer
2023-06-03,S001,P0001,Electronics,North,334,208,3,204.93,158.68,20,Sunny,0,145.87,Summer
2023-06-04,S001,P0001,Electronics,North,133,203,21,188.03,155.58,10,Sunny,0,172.88,Summer
2023-06-05,S001,P0001,Electronics,North,352,292,100,300.09,166.11,10,Sunny,1,163.81,Summer
2023-06-06,S001,P0001,Electronics,North,212,201,63,215.8,166.35,15,Rainy,0,180.9,Summer
2023-06-07,S001,P0001,Electronics,North,479,170,144,156.1,169.96,10,Rainy,0,171.2,Summer
2023-06-08,S001,P0001,Electronics,North,427,262,130,245.52,169.05,0,Rainy,1,153.52,Summer
2023-06-09,S001,P0001,Electronics,North,277,198,8,186.14,165.37,0,Snowy,0,148.07,Summer
2023-06-10,S001,P0001,Electronics,North,254,236,71,234.33,159.28,5,Rainy,0,177.43,Summer
2023-06-11,S001,P0001,Electronics,North,266,209,32,227.92,164.91,0,Snowy,0,173.79,Summer
2023-06-12,S001,P0001,Electronics,North,141,179,147,173.49,162.07,5,Snowy,0,145.44,Summer
2023-06-13,S001,P0001,Electronics,North,463,185,160,197.01,168.57,5,Rainy,0,161.37,Summer
2023-06-14,S001,P0001,Electronics,North,155,193,118,199.58,167.58,10,Sunny,0,175.88,Summer
2023-06-15,S001,P0001,Electronics,North,408,255,159,244.74,169.44,15,Snowy,1,187.63,Summer
2023-06-16,S001,P0001,Electronics,North,133,192,131,195.74,162.11,5,Cloudy,0,167.7,Summer
2023-06-17,S001,P0001,Electronics,North,61,244,86,251.33,166.12,0,Sunny,0,170.73,Summer
2023-06-18,S001,P0001,Electronics,North,358,251,182,228.09,168.4,15,Rainy,0,149.04,Summer
2023-06-19,S001,P0001,Electronics,North,361,181,104,180.76,159.64,15,Rainy,0,155.93,Summer
2023-06-20,S001,P0001,Electronics,North,354,164,93,179.11,167.89,5,Sunny,0,181.84,Summer
2023-06-21,S001,P0001,Electronics,North,431,179,19,179.17,166.18,5,Sunny,0,166.74,Summer
2023-06-22,S001,P0001,Electronics,North,384,183,161,193.72,164.08,5,Cloudy,0,167.72,Summer
2023-06-23,S001,P0001,Electronics,North,286,179,17,183.71,157.66,0,Cloudy,0,168.1,Summer
2023-06-24,S001,P0001,Electronics,North,51,250,118,245.65,160.3,20,Sunny,0,150.58,Summer
2023-06-25,S001,P0001,Electronics,North,280,244,83,248.54,161.47,0,Cloudy,0,154.19,Summer
2023-06-26,S001,P0001,Electronics,North,456,209,46,197.91,160.68,5,Cloudy,0,158.44,Summer
2023-06-27,S001,P0001,Electronics,North,381,207,93,192.33,161.53,20,Snowy,0,164.94,Summer
2023-06-28,S001,P0001,Electronics,North,156,173,164,168.04,160.4,15,Sunny,0,171.25,Summer
2023-06-29,S001,P0001,Electronics,North,416,165,133,155.29,161.49,20,Snowy,0,152.57,Summer
2023-06-30,S001,P0001,Electronics,North,168,293,34,290.2,154.88,20,Cloudy,1,148.05,Summer
2023-07-01,S001,P0001,Electronics,North,325,222,180,221.11,154.92,10,Cloudy,0,136.98,Summer
2023-07-02,S001,P0001,Electronics,North,476,222,177,215.01,158.37,15,Cloudy,0,140.5,Summer
2023-07-03,S001,P0001,Electronics,North,283,190,123,196.59,165.68,5,Sunny,0,149.53,Summer
2023-07-04,S001,P0001,Electronics,North,339,200,192,213.52,157.12,5,Cloudy,0,164.03,Summer
2023-07-05,S001,P0001,Electronics,North,185,182,46,184.57,164.27,15,Cloudy,0,181.26,Summer
2023-07-06,S001,P0001,Electronics,North,102,168,47,173.08,164.94,5,Rainy,0,171.19,Summer
2023-07-07,S001,P0001,Electronics,North,122,194,160,190.39,155.02,20,Sunny,0,139.78,Summer
2023-07-08,S001,P0001,Electronics,North,181,226,101,223.21,166.67,5,Rainy,0,181.79,Summer
2023-07-09,S001,P0001,Electronics,North,178,207,87,198.59,168.35,0,Sunny,0,161.26,Summer
2023-07-10,S001,P0001,Electronics,North,466,208,48,209.9,160.55,10,Snowy,0,141.85,Summer
2023-07-11,S001,P0001,Electronics,North,379,172,193,170.74,156.98,10,Sunny,0,170.67,Summer
2023-07-12,S001,P0001,Electronics,North,61,177,132,173.42,159.78,20,Cloudy,0,161.07,Summer
2023-07-13,S001,P0001,Electronics,North,375,184,45,192.03,166.66,10,Cloudy,0,147.39,Summer
2023-07-14,S001,P0001,Electronics,North,320,180,67,195.64,169.29,10,Rainy,0,155.73,Summer
2023-07-15,S001,P0001,Electronics,North,76,228,156,241.82,162.73,10,Snowy,0,155.36,Summer
2023-07-16,S001,P0001,Electronics,North,394,203,93,190.05,160.96,15,Rainy,0,172.54,Summer
2023-07-17,S001,P0001,Electronics,North,290,198,169,185.54,159.04,15,Snowy,0,158.41,Summer
2023-07-18,S001,P0001,Electronics,North,428,176,140,179.58,164.52,20,Rainy,0,168.21,Summer
2023-07-19,S001,P0001,Electronics,North,427,185,120,197.57,164.74,0,Rainy,0,155.08,Summer
2023-07-20,S001,P0001,Electronics,North,394,194,145,204.35,165.14,5,Sunny,0,162.13,Summer
2023-07-21,S001,P0001,Electronics,North,157,191,160,180.18,158.06,0,Rainy,0,139.99,Summer
2023-07-22,S001,P0001,Electronics,North,127,238,76,242.5,158.01,0,Rainy,0,149.46,Summer
2023-07-23,S001,P0001,Electronics,North,91,260,117,257.18,165.21,0,Sunny,0,146.01,Summer
2023-07-24,S001,P0001,Electronics,North,337,190,166,200.36,159.72,15,Snowy,0,165.29,Summer
2023-07-25,S001,P0001,Electronics,North,402,202,122,195.68,160.76,15,Sunny,0,161.5,Summer
2023-07-26,S001,P0001,Electronics,North,279,263,199,270.94,163.01,15,Sunny,1,161.32,Summer
2023-07-27,S001,P0001,Electronics,North,221,194,1,188.68,155.09,10,Rainy,0,153.09,Summer
2023-07-28,S001,P0001,Electronics,North,336,172,46,161.71,169.86,5,Rainy,0,166.71,Summer
2023-07-29,S001,P0001,Electronics,North,449,224,139,245.56,154.26,10,Snowy,0,149.91,Summer
2023-07-30,S001,P0001,Electronics,North,335,355,148,326.1,158.2,5,Snowy,1,167.89,Summer
2023-07-31,S001,P0001,Electronics,North,87,195,141,180.09,167.65,5,Sunny,0,162.02,Summer
2023-08-01,S001,P0001,Electronics,North,229,278,189,275.06,159.2,15,Rainy,1,159.8,Summer
2023-08-02,S001,P0001,Electronics,North,391,195,59,208.71,162.31,5,Snowy,0,179.08,Summer
2023-08-03,S001,P0001,Electronics,North,207,267,133,247.84,168.5,15,Rainy,1,151.55,Summer
2023-08-04,S001,P0001,Electronics,North,179,201,162,194.81,157.06,15,Rainy,0,162.37,Summer
2023-08-05,S001,P0001,Electronics,North,359,221,124,212.93,164.09,10,Sunny,0,176.9,Summer
2023-08-06,S001,P0001,Electronics,North,454,236,195,218.78,156.22,15,Sunny,0,158.08,Summer
2023-08-07,S001,P0001,Electronics,North,195,157,59,168.04,162.46,20,Cloudy,0,167.12,Summer
2023-08-08,S001,P0001,Electronics,North,54,175,161,173.59,156.71,5,Rainy,0,175.32,Summer
2023-08-09,S001,P0001,Electronics,North,239,264,114,246.99,156.21,15,Sunny,1,156.56,Summer
2023-08-10,S001,P0001,Electronics,North,408,178,123,171.1,167.46,15,Snowy,0,168.55,Summer
2023-08-11,S001,P0001,Electronics,North,141,164,13,153.4,160.21,20,Rainy,0,178.04,Summer
2023-08-12,S001,P0001,Electronics,North,454,217,78,220.57,156.41,5,Snowy,0,157.74,Summer
2023-08-13,S001,P0001,Electronics,North,237,221,138,218.98,156.02,15,Snowy,0,140.97,Summer
2023-08-14,S001,P0001,Electronics,North,101,193,111,202.16,156.68,10,Sunny,0,160.97,Summer
2023-08-15,S001,P0001,Electronics,North,241,191,16,197.06,156.4,0,Sunny,0,167.99,Summer
2023-08-16,S001,P0001,Electronics,North,291,274,57,260.47,158.78,20,Snowy,1,164.01,Summer
2023-08-17,S001,P0001,Electronics,North,493,188,86,188.69,164.21,10,Sunny,0,173.57,Summer
2023-08-18,S001,P0001,Electronics,North,382,196,199,179.72,165.29,10,Sunny,0,148.31,Summer
2023-08-19,S001,P0001,Electronics,North,188,310,179,327.03,159.06,10,Snowy,1,153.52,Summer
2023-08-20,S001,P0001,Electronics,North,401,244,7,232.53,163.17,15,Sunny,0,155.16,Summer
2023-08-21,S001,P0001,Electronics,North,98,163,35,166.75,157.58,0,Sunny,0,174.97,Summer
2023-08-22,S001,P0001,Electronics,North,315,206,148,190.56,168.79,10,Snowy,0,153.15,Summer
2023-08-23,S001,P0001,Electronics,North,275,185,10,168.12,164.25,0,Snowy,0,168.13,Summer
2023-08-24,S001,P0001,Electronics,North,383,295,123,288.43,160.35,5,Rainy,1,151.64,Summer
2023-08-25,S001,P0001,Electronics,North,454,183,121,194.56,154.45,0,Snowy,0,169.98,Summer
2023-08-26,S001,P0001,Electronics,North,198,257,125,274.58,166.5,15,Snowy,0,153.61,Summer
2023-08-27,S001,P0001,Electronics,North,144,228,150,243.54,167.52,20,Rainy,0,169.22,Summer
2023-08-28,S001,P0001,Electronics,North,240,174,117,176.26,162.5,20,Rainy,0,177.06,Summer
2023-08-29,S001,P0001,Electronics,North,193,175,71,166.13,161.74,20,Cloudy,0,180.83,Summer
2023-08-30,S001,P0001,Electronics,North,411,287,97,270.01,160.76,5,Sunny,1,169.75,Summer
2023-08-31,S001,P0001,Electronics,North,469,176,85,188.25,166.97,5,Rainy,0,180.3,Summer
2023-09-01,S001,P0001,Electronics,North,486,164,120,169.85,166.41,10,Cloudy,1,158.65,Autumn
2023-09-02,S001,P0001,Electronics,North,276,164,153,160.44,168.63,20,Rainy,0,176.55,Autumn
2023-09-03,S001,P0001,Electronics,North,309,210,187,222.36,164.3,15,Sunny,1,167.78,Autumn
2023-09-04,S001,P0001,Electronics,North,104,115,131,104.71,163.66,5,Rainy,0,175.64,Autumn
2023-09-05,S001,P0001,Electronics,North,354,122,62,111.68,167.64,20,Snowy,0,179.1,Autumn
2023-09-06,S001,P0001,Electronics,North,277,121,93,116.84,161.39,0,Rainy,0,156.41,Autumn
2023-09-07,S001,P0001,Electronics,North,352,202,56,219.5,167.25,20,Sunny,1,164.09,Autumn
2023-09-08,S001,P0001,Electronics,North,127,117,123,114.28,160.9,0,Rainy,0,164.29,Autumn
2023-09-09,S001,P0001,Electronics,North,99,147,2,133.07,160.12,0,Rainy,0,172.87,Autumn
2023-09-10,S001,P0001,Electronics,North,475,122,34,120.28,169.51,10,Sunny,0,183.42,Autumn
2023-09-11,S001,P0001,Electronics,North,123,122,191,121.58,167.27,5,Snowy,0,149.2,Autumn
2023-09-12,S001,P0001,Electronics,North,346,121,181,114.35,154.36,15,Snowy,0,150.61,Autumn
2023-09-13,S001,P0001,Electronics,North,262,122,157,116.7,161.91,5,Rainy,0,143.89,Autumn
2023-09-14,S001,P0001,Electronics,North,449,129,181,127.17,170.07,0,Sunny,0,160.61,Autumn
2023-09-15,S001,P0001,Electronics,North,156,114,83,116.73,168.09,10,Sunny,0,161.87,Autumn
2023-09-16,S001,P0001,Electronics,North,209,142,147,131.43,158.09,20,Rainy,0,170.53,Autumn
2023-09-17,S001,P0001,Electronics,North,214,146,57,160.0,164.38,20,Cloudy,0,173.26,Autumn
2023-09-18,S001,P0001,Electronics,North,445,108,188,99.66,169.62,5,Sunny,0,158.44,Autumn
2023-09-19,S001,P0001,Electronics,North,338,110,80,120.57,168.05,20,Rainy,0,164.18,Autumn
2023-09-20,S001,P0001,Electronics,North,247,123,97,122.62,164.19,20,Sunny,0,181.75,Autumn
2023-09-21,S001,P0001,Electronics,North,147,134,143,131.64,165.1,20,Cloudy,0,166.9,Autumn
